"","Class","Name","InChIKey","CID","CAS","model.response"
"1",NA,"sfr","SFR","SFR","SFR",0
"2","other","water","XLYOFNOQVPJJNP-UHFFFAOYSA-N","962","7732-18-5",0.236
"18","acid","propanoic acid","XBDQKXXYIPTUBI-UHFFFAOYSA-N","1032","79-09-4",0.129
"44","terpene","geranyl acetate","HIGQPQRQIQDZMP-DHZHZOJOSA-N","1549026","105-87-3",0.002
"57","terpene","(1R)-(-)-fenchone","LHXDLQBQYFFVNW-OIBJUYFYSA-N","14525","7787-20-4",0.002
"74","aldehyde","E2-hexenal","MBDOYVRWFFCFHM-SNAWJCMRSA-N","5281168","6728-26-3",0.368
"86","ketone","2-heptanone","CATSNJVOTSVZJV-UHFFFAOYSA-N","8051","110-43-0",0.223
"88","ketone","2,3-butanedione","QSJXEFYPDANLFS-UHFFFAOYSA-N","650","431-03-8",0.026
"93","ketone","cyclohexanone","JHIVVAPYMSGYDF-UHFFFAOYSA-N","7967","108-94-1",0.233
"99","arom","methyl salicylate","OSWPMRLSEDHDFF-UHFFFAOYSA-N","4133","119-36-8",-0.013
"103","arom","benzaldehyde","HUMNYLRZRPPJDN-UHFFFAOYSA-N","240","100-52-7",0.1
"105","arom","acetophenone","KWOLFJPFCHCOCG-UHFFFAOYSA-N","7410","98-86-2",0.032
"107","arom","2-methylphenol","QWVGKYWNOKOFNN-UHFFFAOYSA-N","335","95-48-7",-0.013
"115","arom","4-methoxybenzene","RDOXTESZEPMUJZ-UHFFFAOYSA-N","7519","100-66-3",-0.002
"116","arom","4-allyl-1,2-dimethoxybenzene","ZYEMGPIYFIJGTP-UHFFFAOYSA-N","7127","93-15-2",0.002
"120","arom","4-methylphenol","IWDCLRJOBJJRNH-UHFFFAOYSA-N","2879","106-44-5",0
"135","alcohol","1-butanol","LRHPLDYGYMQRHN-UHFFFAOYSA-N","263","71-36-3",0.052
"137","alcohol","1-hexanol","ZSIAUFGUXNUGDI-UHFFFAOYSA-N","8103","111-27-3",0.407
"144","alcohol","1-octen-3-ol","VSMOENVRRABVKN-UHFFFAOYSA-N","18827","3391-86-4",0.078
"154","alcohol","1-heptanol","BBMCTIGTTCKYKF-UHFFFAOYSA-N","8129","111-70-6",0.476
"155","alcohol","3-octanol","NMRPBPVERJPACX-UHFFFAOYSA-N","11527","589-98-0",0.056
"156","alcohol","1-nonanol","ZWRUINPWMLAQRD-UHFFFAOYSA-N","8914","143-08-8",0.508
"164","ester","ethyl acetate","XEKOWRVHYACXOJ-UHFFFAOYSA-N","8857","141-78-6",0.041
"165","ester","propyl acetate","YKYONYBAUNKHLG-UHFFFAOYSA-N","7997","109-60-4",0.147
"167","ester","pentyl acetate","PGMYKACGEOXYJE-UHFFFAOYSA-N","12348","628-63-7",0.076
"170","ester","isopentyl acetate","MLFHJEHSLIIPHL-UHFFFAOYSA-N","31276","123-92-2",0.153
"173","ester","ethyl butyrate","OBNCKNCVKJNDBV-UHFFFAOYSA-N","7762","105-54-4",0.034
"187","ester","octyl acetate","YLYBTZIQSIBWLI-UHFFFAOYSA-N","8164","112-14-1",0.136
"221","other","oil","solvent","solvent","solvent",0.006
"225","other","carbon dioxide","CURLTUGMZLYLDI-UHFFFAOYSA-N","280","124-38-9",0.054
